namevariant,preflabel,coords
searchable,canonical_form,geometry
Amersfoort fort,|Amersfoort, fort|,Point(-3.55 128.3)
Amsterdam fort,|Amsterdam, fort (Hila)|,Point(-3.58267 128.083)
fort Hila,|Amsterdam, fort (Hila)|,Point(-3.58267 128.083)
Kasteel van Verre,|Amsterdam, fort (Hila)|,Point(-3.58267 128.083)
Beeverwijk fort,|Beeverwijk, fort|,Point(-3.6463 128.765)
Beverwijk fort,|Beeverwijk, fort|,Point(-3.6463 128.765)
Beverwijck fort,|Beeverwijk, fort|,Point(-3.6463 128.765)
Duurstede fort,|Duurstede, fort|,Point(-3.57549 128.659)
Rotterdam fort,|Rotterdam, fort (Larike)|,Point(-3.74948 127.932)
fort Larike,|Rotterdam, fort (Larike)|,Point(-3.74948 127.932)
fort Lariké,|Rotterdam, fort (Larike)|,Point(-3.74948 127.932)
fort Laricque,|Rotterdam, fort (Larike)|,Point(-3.74948 127.932)
fort Larique,|Rotterdam, fort (Larike)|,Point(-3.74948 127.932)
fort Larricque,|Rotterdam, fort (Larike)|,Point(-3.74948 127.932)
fort Laryecque,|Rotterdam, fort (Larike)|,Point(-3.74948 127.932)
Wantrouw fort,|Wantrouw, fort (Manipa)|,Point(-3.33834 127.556)
fort Waantrouw,|Wantrouw, fort (Manipa)|,Point(-3.33834 127.556)
Barricade Wantrouw,|Wantrouw, fort (Manipa)|,Point(-3.33834 127.556)
Zeelandia fort,|Zeelandia, fort (Haruku)|,Point(-3.60277 128.417)
Fort Nieuw Zeelandia,|Zeelandia, fort (Haruku)|,Point(-3.60277 128.417)
Fort Haroeko,|Zeelandia, fort (Haruku)|,Point(-3.60277 128.417)
Middelburg fort,|Middelburg, fort (Ambon)|,Point(-3.63103 128.254)
fort Paso,|Middelburg, fort (Ambon)|,Point(-3.63103 128.254)
fort Passo,|Middelburg, fort (Ambon)|,Point(-3.63103 128.254)
Baguala,|Middelburg, fort (Ambon)|,Point(-3.63103 128.254)
Overburg fort,|Overburg, fort|,Point(-3.38981 127.982)
fort Overbrug,|Overburg, fort|,Point(-3.38981 127.982)
fort De Bullebak,|Overburg, fort|,Point(-3.38981 127.982)
DenBosch fort,|Den Bosch, fort|,Point(-3.21648 128.176)
Boschot fort,|Den Bosch, fort|,Point(-3.21648 128.176)
Defensie fort,|Defensie, fort|,Point(-3.38499 127.114)
Defentia fort,|Defensie, fort|,Point(-3.38499 127.114)
Defentie fort,|Defensie, fort|,Point(-3.38499 127.114)
Deffensie fort,|Defensie, fort|,Point(-3.38499 127.114)
Deventie fort,|Defensie, fort|,Point(-3.38499 127.114)
Defenti fort,|Defensie, fort|,Point(-3.38499 127.114)
Cosburg fort,|Defensie, fort|,Point(-3.38499 127.114)
Oostburg fort,|Defensie, fort|,Point(-3.38499 127.114)
Mandarsjah fort,|Defensie, fort|,Point(-3.38499 127.114)
Kayeli fort,|Defensie, fort|,Point(-3.38499 127.114)
Ontmoeting fort,|Ontmoeting, fort|,Point(-7.12931 110.405)
Fort Oengaran,|Ontmoeting, fort|,Point(-7.12931 110.405)
Fort Ungaran,|Ontmoeting, fort|,Point(-7.12931 110.405)
Fort Willem II,|Ontmoeting, fort|,Point(-7.12931 110.405)
Belgica fort,|Belgica, fort (Banda)|,Point(-4.52607 129.899)
fort Bellegika,|Belgica, fort (Banda)|,Point(-4.52607 129.899)
redoute Neira,|Belgica, fort (Banda)|,Point(-4.52607 129.899)
Nassau fort,|Nassau, fort (Banda)|,Point(-4.52822 129.898)
fortNassouw Neira,|Nassau, fort (Banda)|,Point(-4.52822 129.898)
fortNassauw Neira,|Nassau, fort (Banda)|,Point(-4.52822 129.898)
fortNassou Neira,|Nassau, fort (Banda)|,Point(-4.52822 129.898)
GoedeHoop kasteelde,|Goede Hoop, kasteel de (Kaapstad)|,Point(-33.9257 18.4277)
KaapdeGoedeHoop kasteel,|Goede Hoop, kasteel de (Kaapstad)|,Point(-33.9257 18.4277)
Batavia kasteel,|Batavia, kasteel|,Point(-6.12767 106.811)
Vredenburg fort,|Vredenburg, fort (Yogyakarta)|,Point(-7.80028 110.366)
fort Vredeburg,|Vredenburg, fort (Yogyakarta)|,Point(-7.80028 110.366)
Goji Lede,|Vredenburg, fort (Yogyakarta)|,Point(-7.80028 110.366)
fort Rustenburg,|Vredenburg, fort (Yogyakarta)|,Point(-7.80028 110.366)
Speelwijk fort,|Speelwijk, fort|,Point(-6.03097 106.151)
Spelwijck fort,|Speelwijk, fort|,Point(-6.03097 106.151)
Speelwijck fort,|Speelwijk, fort|,Point(-6.03097 106.151)
Revenge fort,|Revenge, fort|,Point(-4.51896 129.774)
fort Revengie,|Revenge, fort|,Point(-4.51896 129.774)
fort Ay,|Revenge, fort|,Point(-4.51896 129.774)
Victoria fort,|Victoria, fort (Ambon)|,Point(-3.69155 128.182)
fort Nieuw Victoria,|Victoria, fort (Ambon)|,Point(-3.69155 128.182)
Forte de Nossa Senhora da Anunciada,|Victoria, fort (Ambon)|,Point(-3.69155 128.182)
Kota Laha,|Victoria, fort (Ambon)|,Point(-3.69155 128.182)
Oostenburgh fort,|Oostenburgh, fort|,Point(8.54028 81.2336)
Oostenburg fort,|Oostenburgh, fort|,Point(8.54028 81.2336)
Frederick fort,|Frederick, fort|,Point(8.56667 81.2167)
Frederik fort,|Frederick, fort|,Point(8.56667 81.2167)
Trinquenemale,|Frederick, fort|,Point(8.56667 81.2167)
Delfft fort,|Delfft, fort (Poorto)|,Point(-3.56222 128.597)
Delft fortPoorto,|Delfft, fort (Poorto)|,Point(-3.56222 128.597)
Vrydenburg fort,|Vrydenburg, fort|,Point(0 0)
Haarlem fort,|Haarlem, fort (Ambon)|,Point(-3.64147 127.969)
fort Haerlem,|Haarlem, fort (Ambon)|,Point(-3.64147 127.969)
blokhuis Haarlem,|Haarlem, fort (Ambon)|,Point(-3.64147 127.969)
fort Lima,|Haarlem, fort (Ambon)|,Point(-3.64147 127.969)
blokhuis Van der Capellen,|Haarlem, fort (Ambon)|,Point(-3.64147 127.969)
Hoorn fort,|Hoorn, fort (Haruku)|,Point(-3.51715 128.473)
fort Pelau,|Hoorn, fort (Haruku)|,Point(-3.51715 128.473)
fort Pelauw,|Hoorn, fort (Haruku)|,Point(-3.51715 128.473)
Lyden fort,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Leijden,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Leyden,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Leiden,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
Fort Hitoelama,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Hitu Lama,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Enkhuizen,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Enkhuijzen,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
Nootwijk fort,|Nootwijk, fort (Ambon)|,Point(-3.69703 128.186)
Noortwijk fort,|Nootwijk, fort (Ambon)|,Point(-3.69703 128.186)
Noordwijk fort,|Nootwijk, fort (Ambon)|,Point(-3.69703 128.186)
Ceith fort,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Ceijt,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Seith,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Seit,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Sonder Naam,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Sondernaam,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Lebelehoe,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
Velsen fort,|Velsen, fort|,Point(-3.49844 128.692)
Velzen,|Velsen, fort|,Point(-3.49844 128.692)
Vlissingen fort,|Vlissingen, fort (Nussatello)|,Point(-3.64891 127.911)
fort Ureng,|Vlissingen, fort (Nussatello)|,Point(-3.64891 127.911)
fort Hatua,|Vlissingen, fort (Nussatello)|,Point(-3.64891 127.911)
redoute Flissingen,|Vlissingen, fort (Nussatello)|,Point(-3.64891 127.911)
Kuijlenburg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Cuijlenburg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Cuijlenburgh fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Kuylenburg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Kuilenburg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Culemborg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Salomon fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Hollandia fort,|Hollandia, fort (Banda)|,Point(-4.54739 129.881)
Lonthor fort,|Hollandia, fort (Banda)|,Point(-4.54739 129.881)
Lontoir fort,|Hollandia, fort (Banda)|,Point(-4.54739 129.881)
Dender fort,|Dender, fort|,Point(-4.5352 129.952)
Dannex fort,|Dender, fort|,Point(-4.5352 129.952)
Morgenstar fort,|Dender, fort|,Point(-4.5352 129.952)
Morgenster fort,|Dender, fort|,Point(-4.5352 129.952)
Voorzightigheid fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorsigtigheyd fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorsigtigheyt fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorsigtigheijt fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorzigtigheid fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorsigtigheijd fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
