namevariant,adamlink,wikidata,preflabel,coords,begin_min,begin_max,end_min,end_max;
searchable,adamlink_url,wikidata_url,canonical_form,geometry,begin_min,begin_max,end_min,end_max;
A. Reitsmakade,https://adamlink.nl/geo/street/a-reitsmakade/2,http://www.wikidata.org/entity/Q18926569,A. Reitsmakade,Point(4.7853571668016 52.349629817554),1997,1997,0,0;
A.A. de Lannoy-Willemsstraat,https://adamlink.nl/geo/street/aa-de-lannoywillemsstraat/3,http://www.wikidata.org/entity/Q18926617,A.A. de Lannoy-Willemsstraat,Point(4.9622350464078 52.320681617411),1996,1996,0,0;
Aaf Bouberstraat,https://adamlink.nl/geo/street/aaf-bouberstraat/4,http://www.wikidata.org/entity/Q18926866,Aaf Bouberstraat,Point(4.820054146881 52.356461120834),1983,1983,0,0;
Aagtdorperpad,https://adamlink.nl/geo/street/aagtdorperpad/5,http://www.wikidata.org/entity/Q18926999,Aagtdorperpad,Point(4.9560811567459 52.39766792019),1987,1987,0,0;
A.A.H. Struijckenkade,https://adamlink.nl/geo/street/aah-struijckenkade/6,http://www.wikidata.org/entity/Q18926622,A.A.H. Struijckenkade,Point(4.8124255330469 52.383306730311),1954,1954,0,0;
Aakstraat,https://adamlink.nl/geo/street/aakstraat/7,http://www.wikidata.org/entity/Q18927059,Aakstraat,Point(4.9116884366568 52.407824837072),1965,1965,0,0;
Aalbersestraat,https://adamlink.nl/geo/street/aalbersestraat/8,http://www.wikidata.org/entity/Q18927144,Aalbersestraat,Point(4.7972636555227 52.375493860121),1953,1953,0,0;
Aalsmeerplein,https://adamlink.nl/geo/street/aalsmeerplein/9,,Aalsmeerplein,Point(4.8467952750705 52.347167036744),1933,1933,0,0;
Aalsmeerweg,https://adamlink.nl/geo/street/aalsmeerweg/10,http://www.wikidata.org/entity/Q18927354,Aalsmeerweg,Point(4.8467952750705 52.347167036744),1927,1927,0,0;
Aambeeldstraat,https://adamlink.nl/geo/street/aambeeldstraat/11,http://www.wikidata.org/entity/Q18927441,Aambeeldstraat,Point(4.9252732385467 52.384726403997),1948,1948,0,0;
Aandewind,https://adamlink.nl/geo/street/aandewind/12,http://www.wikidata.org/entity/Q18927680,Aandewind,Point(4.9261051659641 52.409247942134),1989,1989,0,0;
Aardbeistraat,https://adamlink.nl/geo/street/aardbeistraat/13,http://www.wikidata.org/entity/Q18927782,Aardbeistraat,Point(4.8975060527951 52.411874415077),1951,1951,0,0;
Aaron Coplandstraat,https://adamlink.nl/geo/street/aaron-coplandstraat/14,http://www.wikidata.org/entity/Q18927888,Aaron Coplandstraat,Point(4.8716633051019 52.337522045832),2002,2002,0,0;
Aarschotpad,https://adamlink.nl/geo/street/aarschotpad/15,,Aarschotpad,Point(4.8111192892518 52.350546866565),1991,1991,0,0;
Aart Kleinhof,https://adamlink.nl/geo/street/aart-kleinhof/16,http://www.wikidata.org/entity/Q18927906,Aart Kleinhof,Point(5.0015318854981 52.352683623964),2006,2006,0,0;
Aart van der Leeuwstraat,https://adamlink.nl/geo/street/aart-van-der-leeuwstraat/17,http://www.wikidata.org/entity/Q18927972,Aart van der Leeuwstraat,Point(4.8318126644066 52.37570220942),1953,1953,0,0;
Abbenesstraat,https://adamlink.nl/geo/street/abbenesstraat/18,http://www.wikidata.org/entity/Q18928113,Abbenesstraat,Point(4.8460650133442 52.348080453972),1934,1934,0,0;
Abberdaan,https://adamlink.nl/geo/street/abberdaan/19,http://www.wikidata.org/entity/Q18928116,Abberdaan,Point(4.7804212336568 52.391820248316),1972,1972,0,0;
Abcouderpad,https://adamlink.nl/geo/street/abcouderpad/21,,Abcouderpad,Point(4.9539647134225 52.310524367692),1981,1981,0,0;
Abcouderstraatweg,https://adamlink.nl/geo/street/abcouderstraatweg/22,http://www.wikidata.org/entity/Q18928145,Abcouderstraatweg,Point(4.9609315607747 52.288960980541),1982,1982,0,0;
Abe Lenstralaan,https://adamlink.nl/geo/street/abe-lenstralaan/23,http://www.wikidata.org/entity/Q18928347,Abe Lenstralaan,Point(4.7966932807504 52.370911460227),2002,2002,0,0;
Abebe Bikilalaan,https://adamlink.nl/geo/street/abebe-bikilalaan/24,http://www.wikidata.org/entity/Q18928372,Abebe Bikilalaan,Point(4.9168157035096 52.402443736343),1994,1994,0,0;
Abraham de Haanstraat,https://adamlink.nl/geo/street/abraham-de-haanstraat/25,http://www.wikidata.org/entity/Q18928787,Abraham de Haanstraat,Point(4.9018470309754 52.42212917846),1990,1990,0,0;
Abraham Kuyperlaan,https://adamlink.nl/geo/street/abraham-kuyperlaan/26,http://www.wikidata.org/entity/Q18928830,Abraham Kuyperstraat,Point(4.8009132484789 52.383227912309),2005,2005,0,0;
Abraham Kuyperstraat,https://adamlink.nl/geo/street/abraham-kuyperlaan/26,http://www.wikidata.org/entity/Q18928830,Abraham Kuyperstraat,Point(4.8009132484789 52.383227912309),2005,2005,0,0;
Abraham Kuyperplein,https://adamlink.nl/geo/street/abraham-kuyperplein/27,http://www.wikidata.org/entity/Q18928822,Abraham Kuyperplein,Point(4.8016127703397 52.382372954821),2002,2002,0,0;
Abraham Staalmanplein,https://adamlink.nl/geo/street/abraham-staalmanplein/28,http://www.wikidata.org/entity/Q18928865,Abraham Staalmanplein,Point(4.8279153407815 52.349258630308),1957,1957,0,0;
Abraham van der Hartstraat,https://adamlink.nl/geo/street/abraham-van-der-hartstraat/29,http://www.wikidata.org/entity/Q18928873,Abraham van der Hartstraat,Point(4.7954937779684 52.380832593198),1955,1955,0,0;
Abram Dudok van Heelstraat,https://adamlink.nl/geo/street/abram-dudok-van-heelstraat/30,http://www.wikidata.org/entity/Q18928891,Abram Dudok van Heelstraat,,2008,2008,0,0;
Abrikozenstraat,https://adamlink.nl/geo/street/abrikozenstraat/31,http://www.wikidata.org/entity/Q18928915,Abrikozenstraat,Point(4.8982491849764 52.41015769127),1951,1951,0,0;
Accraweg,https://adamlink.nl/geo/street/accraweg/32,http://www.wikidata.org/entity/Q18929495,Accraweg,Point(4.7517151036669 52.409049881014),2001,2001,0,0;
Accumulatorweg,https://adamlink.nl/geo/street/accumulatorweg/33,http://www.wikidata.org/entity/Q18929502,Accumulatorweg,Point(4.849804229156 52.394783926001),1977,1977,0,0;
Achillesstraat,https://adamlink.nl/geo/street/achillesstraat/34,http://www.wikidata.org/entity/Q18929555,Achillesstraat,Point(4.8645408392188 52.346977099511),1922,1922,0,0;
Achter Oosteinde,https://adamlink.nl/geo/street/achter-oosteinde/35,http://www.wikidata.org/entity/Q18930628,Achter Oosteinde,Point(4.9018837620368 52.359913325945),1881,1881,0,0;
