namevariant,wikidata,preflabel,coords,begin,end
searchable,wikidata_url,canonical_form,geometry,begin_min,end_max
't Hoenstraat,http://www.wikidata.org/entity/Q19562046,'t Hoenstraat,Point(4.6287 52.3987),1921,
't Krom,http://www.wikidata.org/entity/Q19562318,'t Krom,Point(4.6414 52.3824),1562,
't Pand,http://www.wikidata.org/entity/Q19562629,'t Pand,Point(4.6345 52.3816),1543,
't Vaartje,http://www.wikidata.org/entity/Q19563019,'t Vaartje,Point(4.676 52.4153),1980,
't Vaartje (Spaarndam-West),http://www.wikidata.org/entity/Q19563019,'t Vaartje,Point(4.676 52.4153),1980,
't Zakje,http://www.wikidata.org/entity/Q19563257,'t Zakje,Point(4.6325 52.3774),1628,
A. Hofmanweg,http://www.wikidata.org/entity/Q18926534,A. Hofmanweg,Point(4.6671 52.3934),1970,
A.C. Krusemanstraat,http://www.wikidata.org/entity/Q18926655,A.C. Krusemanstraat,Point(4.6598 52.3802),1953,
A.L. Dyserinckstraat,http://www.wikidata.org/entity/Q18926771,A.L. Dyserinckstraat,Point(4.6468 52.3779),1889,
A.W.F. Idenburglaan,http://www.wikidata.org/entity/Q96380485,A.W.F. Idenburglaan,Point(4.626012 52.400536),1978,
A. W. F. van Idenburglaan,http://www.wikidata.org/entity/Q96380485,A.W.F. Idenburglaan,Point(4.626012 52.400536),1978,
Aagje Dekenstraat,http://www.wikidata.org/entity/Q18926973,Aagje Dekenstraat,Point(4.651 52.3776),1924,
Aart van der Leeuwstraat,http://www.wikidata.org/entity/Q18927978,Aart van der Leeuwstraat,Point(4.644943 52.415738),1954,
Abeelstraat,http://www.wikidata.org/entity/Q18928519,Abeelstraat,Point(4.641 52.4011),1926,
Abel Tasmankade,http://www.wikidata.org/entity/Q18928641,Abel Tasmankade,Point(4.6167 52.3827),1936,
Abel Tasmanstraat,http://www.wikidata.org/entity/Q18928641,Abel Tasmankade,Point(4.6167 52.3827),1936,
Abraham Mensstraat,http://www.wikidata.org/entity/Q18928858,Abraham Mensstraat,Point(4.6078 52.3812),1965,
Acaciastraat,http://www.wikidata.org/entity/Q18929144,Acaciastraat,Point(4.6344 52.401),1923,
Hulststraat,http://www.wikidata.org/entity/Q18929144,Acaciastraat,Point(4.6344 52.401),1923,
Achterlangs,http://www.wikidata.org/entity/Q18931098,Achterlangs,Point(4.6315 52.3816),2009,
Achterweg,http://www.wikidata.org/entity/Q18931368,Achterweg,Point(4.6399 52.3981),1200,
Doodweg,http://www.wikidata.org/entity/Q18931368,Achterweg,Point(4.6399 52.3981),1200,
Middenweg,http://www.wikidata.org/entity/Q18931368,Achterweg,Point(4.6399 52.3981),1200,
Adama van Scheltemaplantsoen,http://www.wikidata.org/entity/Q18931544,Adama van Scheltemaplantsoen,Point(4.6383 52.4106),1954,
Adlerstraat,http://www.wikidata.org/entity/Q18931696,Adlerstraat,Point(4.6673 52.3555),,
Adriaan de Jongestraat,http://www.wikidata.org/entity/Q18931835,Adriaan de Jongestraat,Point(4.6189 52.3739),1924,
Adriaan Loosjesstraat,http://www.wikidata.org/entity/Q18931864,Adriaan Loosjesstraat,Point(4.6526 52.3791),1905,
Tollenstraat,http://www.wikidata.org/entity/Q18931864,Adriaan Loosjesstraat,Point(4.6526 52.3791),1905,
Adriaan Paulenstraat,http://www.wikidata.org/entity/Q18931879,Adriaan Paulenstraat,Point(4.649 52.3859),,
Adriaan van der Willigenstraat,http://www.wikidata.org/entity/Q18931922,Adriaan van der Willigenstraat,Point(4.6598 52.3673),,
Aelbertsbergstraat,http://www.wikidata.org/entity/Q18932107,Aelbertsbergstraat,Point(4.63031888 52.393086865),1902,
Akendamstraat,http://www.wikidata.org/entity/Q18933358,Akendamstraat,Point(4.6326 52.3992),1925,
Alberdingk Thijmstraat,http://www.wikidata.org/entity/Q18934503,Alberdingk Thijmstraat,Point(4.654 52.3774),1919,
Albert Neuhuysstraat,http://www.wikidata.org/entity/Q96312740,Albert Neuhuysstraat,Point(4.632942 52.390523),2014,
Albert Schweitzerlaan,http://www.wikidata.org/entity/Q18934803,Albert Schweitzerlaan,Point(4.6611 52.3546),,
Albert Verweylaan,http://www.wikidata.org/entity/Q18935134,Albert Verweylaan,Point(4.6372 52.4087),1954,
